Date,Interest in Olympics
9/1/09,0
9/2/09,0
9/3/09,0
9/4/09,0
9/5/09,0
9/6/09,0
9/7/09,0
9/8/09,0
9/9/09,0
9/10/09,0
9/11/09,0
9/12/09,0
9/13/09,0
9/14/09,82
9/15/09,0
9/16/09,0
9/17/09,0
9/18/09,0
9/19/09,0
9/20/09,0
9/21/09,0
9/22/09,0
9/23/09,0
9/24/09,0
9/25/09,0
9/26/09,0
9/27/09,0
9/28/09,0
9/29/09,0
9/30/09,0
10/1/09,100
7/20/16,3
7/21/16,5
7/22/16,5
7/23/16,4
7/24/16,5
7/25/16,7
7/26/16,5
7/27/16,6
7/28/16,7
7/29/16,7
7/30/16,7
7/31/16,9
8/1/16,11
8/2/16,13
8/3/16,17
8/4/16,19
8/5/16,26
8/6/16,100
8/7/16,69
8/8/16,56
8/9/16,45
8/10/16,48
8/11/16,43
8/12/16,49
8/13/16,61
8/14/16,68
8/15/16,52
8/16/16,53
8/17/16,41
8/18/16,46
8/19/16,48
8/20/16,62
8/21/16,67
8/22/16,38
8/23/16,10
8/24/16,8
8/25/16,5
8/26/16,4
8/27/16,3
8/28/16,3
8/29/16,3
8/30/16,3
8/31/16,2
9/1/16,2
9/2/16,2
9/3/16,2
9/4/16,4
9/5/16,2
9/6/16,2
9/7/16,3
9/8/16,3
9/9/16,2
9/10/16,3
8/25/13,0
8/26/13,6
8/27/13,0
8/28/13,0
8/29/13,0
8/30/13,0
8/31/13,9
9/1/13,7
9/2/13,0
9/3/13,0
9/4/13,6
9/5/13,9
9/6/13,13
9/7/13,97
9/8/13,100
9/9/13,40
9/10/13,21
9/11/13,14
9/12/13,11
9/13/13,9
9/14/13,8
9/15/13,9
9/16/13,6
9/17/13,8
9/18/13,7
9/19/13,0
9/20/13,6
9/21/13,0
9/22/13,0
9/23/13,0
9/24/13,6
9/25/13,0
7/10/24,2
7/11/24,3
7/12/24,3
7/13/24,3
7/14/24,3
7/15/24,4
7/16/24,6
7/17/24,6
7/18/24,7
7/19/24,6
7/20/24,7
7/21/24,8
7/22/24,8
7/23/24,12
7/24/24,20
7/25/24,26
7/26/24,78
7/27/24,100
7/28/24,97
7/29/24,76
7/30/24,80
7/31/24,61
8/1/24,78
8/2/24,84
8/3/24,99
8/4/24,95
8/5/24,76
8/6/24,71
8/7/24,68
8/8/24,74
8/9/24,76
8/10/24,87
8/11/24,83
8/12/24,19
8/13/24,9
8/14/24,7
8/15/24,5
8/16/24,4
8/17/24,5
8/18/24,4
8/19/24,3
8/20/24,3
8/21/24,3
8/22/24,2
8/23/24,2
8/24/24,2
8/25/24,2
8/26/24,2
8/27/24,2
8/28/24,3
8/29/24,3
8/30/24,3
8/31/24,4
7/1/21,3
7/2/21,5
7/3/21,3
7/4/21,4
7/5/21,5
7/6/21,5
7/7/21,5
7/8/21,8
7/9/21,8
7/10/21,4
7/11/21,5
7/12/21,6
7/13/21,6
7/14/21,7
7/15/21,7
7/16/21,8
7/17/21,9
7/18/21,13
7/19/21,16
7/20/21,15
7/21/21,28
7/22/21,38
7/23/21,98
7/24/21,92
7/25/21,100
7/26/21,98
7/27/21,92
