Category: All categories

Day,Olympics: (Brazil)
2016-07-20,3
2016-07-21,5
2016-07-22,5
2016-07-23,4
2016-07-24,5
2016-07-25,7
2016-07-26,5
2016-07-27,6
2016-07-28,7
2016-07-29,7
2016-07-30,7
2016-07-31,9
2016-08-01,11
2016-08-02,13
2016-08-03,17
2016-08-04,19
2016-08-05,26
2016-08-06,100
2016-08-07,69
2016-08-08,56
2016-08-09,45
2016-08-10,48
2016-08-11,43
2016-08-12,49
2016-08-13,61
2016-08-14,68
2016-08-15,52
2016-08-16,53
2016-08-17,41
2016-08-18,46
2016-08-19,48
2016-08-20,62
2016-08-21,67
2016-08-22,38
2016-08-23,10
2016-08-24,8
2016-08-25,5
2016-08-26,4
2016-08-27,3
2016-08-28,3
2016-08-29,3
2016-08-30,3
2016-08-31,2
2016-09-01,2
2016-09-02,2
2016-09-03,2
2016-09-04,4
2016-09-05,2
2016-09-06,2
2016-09-07,3
2016-09-08,3
2016-09-09,2
2016-09-10,3
